1 友達に『淡路島の実習に行こうよ！』と言われる。
2 SNSで見た『玉ねぎの島』投稿が気になり始める。
3 淡路島の観光案内を見つける。少し興味がわく。
4 『関係人口』という言葉を初めて知る。
5 行くか迷っていたけど、ノリで申込ボタンを押す。
6 明石海峡大橋を渡り、海の広さに息をのむ。
7 自己紹介で緊張。地元の人の笑顔に安心する。
8 淡路麺業の生パスタに感動！思わず写真を撮る。
9 COFFEE BARNのオーナーの話に刺激を受ける。
10 弁天堂で『地元愛され型』経営を知り、地域の温かさを感じる。
11 関係人口について調べてみる。
12 『来て終わりにしない』関係人口の大切さを知る。
13 最終日、地元の人に『また来てね』と言われる。
14A 移住支援センターで家探し。古民家に一目ぼれする。
15A 近所の人が野菜をくれた。『これが島の暮らし？』と実感。
16A 地域の集まりに参加。笑顔で迎えられる。
17A SNSで『淡路移住日記』を投稿。思った以上に反応が大きい。
18A 初めての地域イベントで司会を担当！
19A 朝寝坊してゴミ出しを忘れ、叱られる。島のルールを学ぶ。
20A 謝りに行くと『気にせんでええよ』と笑顔で許してくれた。
21A COFFEE BARNでバイト開始。お客さんに島の魅力を語るように。
22A 弁天堂の社長から『焦らずやりなさい』とアドバイス。
23A 休日に学生実習生を案内。教える立場に。
24A 市役所の若手職員と協力し、新規企画を立ち上げる。
25A 移住2年目、地域誌の特集に載る。
26A 仕事と生活のバランスに悩むが、夕日を見て深呼吸。
27A 『東京の友達を淡路に呼ぶ』プロジェクトを企画する。
28A 友達が『また来たい！』と言ってくれた。
29A 地元の人に『もう島の人やな』と言われる。
30A あなたの関係人口スコアは……？ 島の一員として新しい物語が続く。
14B 東京に戻って淡路の写真を見返す。
15B 淡路ラボのSNSをフォロー。島のニュースをチェック。
16B オンライン座談会で懐かしい顔に再会。
17B 東京の『淡路カフェ』のイベントを手伝う。
18B イベントで『来訪者がつながりを生む』という仕掛けを提案。
19B 仕事が忙しく、淡路のことを考える余裕がなくなる。
20B 淡路の友人から『遊びにおいでよ』とメッセージ。
21B 連休を使って再訪。『覚えてるよ！』と迎えられる。
22B 地元中学生の発表を見て、地域の変化を感じる。
23B 東京で淡路の物産展を企画。玉ねぎスープが大人気！
24B SNSで『#淡路とつながる』が広がる。
25B 弁天堂の商品を東京のカフェで紹介するコラボが実現。
26B 関係人口の研究レポートを執筆。自分の体験を言語化する。
27B 学会で『淡路島の関係人口モデル』を発表。反響に驚く。
28B それを聞いた淡路の人から『ありがとう』とDMが届く。
29B 淡路に再訪。懐かしい景色と人々に再会して笑顔に。
30B あなたの関係人口スコアは……？ 離れても心は淡路とつながっている。
